+ hd	+ ho
va sdp	va sdt
mah +	may +
khi kh	khi khu
tat/ mo	tat mo
nuoc +co	nuoc co
gop trog	gop trong
kong ban	khong ban
tiet |	tiet a
hoi ss	hoi so
ct dat	co dat
kh se	km se
den hk	den ha
va hd	va ho
+ hk	+ ho
duyet hs	duyet ho
khoang bn	khong ban
tag phieu	tang phieu
hoi iphon	hoi iphone
fanpge fpt	fanpage fpt
thag gop	thang gop
khau/ bang	khau bang
kh ad	kg ad
vong bn	vong ban
mih dat	minh dat
mua iphon	mua iphone
luot wed	luot web
ftp shop	fpt shop
vn/a ban	va ban
kh duoc	khi duoc
bao nkiu	bao nhiu
cmnd +ho	cmnd +
thag phai	thang phai
the tat/	the tat
tren wed	tren web
lagi binh	lai binh
kh dang	khi dang
ngay ​hoac	ngay hoac
hang lh	hang la
hoi sp	hoi so
co cmtnd	co cmnd
mua ss	mua se
kh vay	kg vay
xach tay/	xach tay
mp cho	ma cho
kien ct	kien co
gop od	gop o
gio mih	gio minh
kh may	khi may
ct chua	co chua
thag vay	thang vay
ben mih	ben minh
ct ap	co ap
mih dang	minh dang
hk +	he +
kh lam	khi lam
ct giam	co giam
con bh	con bi
mih muon	minh muon
hanh ntn	hanh nen
cho ng	cho no
ung dung=>	ung dung
kh thanh	khi thanh
neu kh	neu khi
mk thay	ma thay
mih phai	minh phai
mk mua	ma mua
ho khau/	ho khau
sv va	so va
mih khong	minh khong
mai sl	mai se
chug nao	chung nao
cap sdt+	cap sdt
mk hoi	ma hoi
nv bao	no bao
thay nv	thay no
khog vay	khong vay
sp nay	so nay
nhung kh	nhung khi
mp va	ma va
mk muon	ma muon
mem >	mem a
ct nay	co nay
chao tony	chao tong
kh da	khi da
sv thi	so thi
mat bn	mat ban
xa utra	xa ultra
film &	film +
cho sp	cho su
hop kh	hop khi
cho sv	cho su
gio mk	gio ma
hag thag	hang thang
man hih	man hinh
mk moi	ma moi
cko e	cho e
nhug gi	nhung gi
sp cua	so cua
sp chua	shop chua
kh can	khi can
hien ct	hien co
ug dug	ung dung
may mk	may ma
shop ppt	shop fpt
sp tai	so tai
gop hd	gop ho
gop hk	gop ho
mi band	moi ban
cai dat=>	cai dat
co cmnd+	co cmnd
vao sp	vao so
lai/ ho	lai ho
bao hanh/	bao hanh
khau /bang	khau bang
krong pak	krong pac
tag gi	tang gi
kh dat	khi dat
hoi mk	hoi ma
dat >	dat o
- kh	- ky
chao lee	chao le
cho kh	cho kha
sv nhe	so nhe
mik mua	moi mua
mau hog	mau hong
thi ntn	thi nen
dung cmnd+	dung cmnd
hoi mih	hoi minh
truoc bnhiu	truoc nhiu
ct tra	co tra
nag cap	nang cap
qua sdp	qua sdt
hag nao	hang nao
kinh cuog	kinh cuong
phu kienvo	phu kien
dien /	dien a
hk ad	ha ad
ve lh	ve la
dat hag	dat hang
truoc od	truoc o
vr tri	vi tri
voi hc	voi ho
neu mih	neu minh
samsung vr	samsung va
thi mih	thi minh
doi moi”	doi moi
o lagi	o lai
cmnn va	cmnd va
phu kien/	phu kien
anz nhe	anh nhe
voi ss	voi so
chinh hd	chinh ho
lh cho	la cho
gi hk	gi ha
hanh/ khong	hanh khong
hag ve	hang ve
gan nhat/	gan nhat
bn ad	ban a
ime may	imei may
hk qtv	ha qtv
co cmnn	co cmnd
sau vp	sau va
thi mk	thi my
kh shop	kg shop
mk tra	ma tra
cho mk	cho em
a ^^	a 
thi nv	thi no
mk co	ma co
van vagiup	van giup
ngan hag	ngan hang
kh tu	ke tu
vuc dak	vuc da
